id,menu,paymentType,CustomerId,LocationId,diningOptions,TimeCreated
5515,industry,Credit Card,7059,6467,Take Out,2024-05-08 15:43:14
7084,mind,Credit Card,3168,8211,Dine In,2024-03-16 16:23:10
7083,middle,Debit Card,9039,7102,Dine In,2024-07-25 20:02:31
2419,different,Debit Card,6696,5433,Dine In,2024-05-08 10:08:48
360,season,Debit Card,4960,8316,Dine In,2024-03-05 17:02:58
9560,pass,Debit Card,8932,9236,Dine In,2024-06-04 11:24:53
4163,politics,Mobile Payment,6954,2848,Take Out,2024-07-16 09:12:38
7415,from,Debit Card,4889,4384,Dine In,2024-07-22 17:07:07
4213,his,Debit Card,1944,4273,Delivery,2024-07-30 13:51:15
7113,authority,Cash,4268,554,Take Out,2024-03-04 18:46:21
3137,own,Credit Card,1793,5847,Take Out,2024-06-21 14:11:23
6082,would,Mobile Payment,9337,4409,Delivery,2024-03-21 18:06:54
2188,your,Cash,1535,7802,Take Out,2024-06-03 11:58:13
8720,professional,Credit Card,6268,537,Delivery,2024-04-23 06:27:31
5053,language,Credit Card,3676,7372,Dine In,2024-01-12 03:36:18
2177,sister,Credit Card,5525,8404,Take Out,2024-07-24 19:04:58
5741,walk,Debit Card,4530,7335,Take Out,2024-06-06 21:57:27
320,which,Cash,2189,8115,Take Out,2024-08-29 18:36:43
1691,call,Cash,3184,7909,Dine In,2024-06-25 03:11:08
4276,early,Cash,4889,8115,Dine In,2024-08-15 03:54:05
7508,ago,Cash,6954,8316,Delivery,2024-05-02 05:15:12
7167,government,Debit Card,8614,4409,Dine In,2024-09-09 13:04:54
3068,thousand,Credit Card,6696,3513,Delivery,2024-04-05 23:16:41
4219,beautiful,Cash,6489,8578,Take Out,2024-05-04 06:00:16
3725,population,Credit Card,8194,2406,Dine In,2024-03-27 17:44:04
7894,couple,Credit Card,8932,6568,Take Out,2024-09-17 01:20:06
4113,chair,Mobile Payment,5953,3713,Delivery,2024-09-10 08:37:48
3873,environment,Debit Card,2189,4168,Dine In,2024-06-21 08:57:46
1809,truth,Mobile Payment,3888,3492,Delivery,2024-03-15 20:52:10
4757,box,Cash,1444,6237,Delivery,2024-03-09 23:54:53
2016,trial,Cash,9959,9236,Dine In,2024-03-07 00:58:51
4581,watch,Cash,5893,5433,Delivery,2024-03-14 17:27:37
6290,stage,Debit Card,5893,3492,Dine In,2024-09-08 19:47:39
5323,summer,Debit Card,6696,3964,Take Out,2024-03-09 20:20:31
2249,threat,Mobile Payment,9959,3713,Dine In,2024-08-21 20:04:20
917,enough,Credit Card,3588,2813,Take Out,2024-07-07 23:53:36
9636,produce,Credit Card,4465,7518,Delivery,2024-07-26 02:45:37
442,should,Mobile Payment,6271,7335,Delivery,2024-06-16 14:18:05
5916,agent,Credit Card,7296,7335,Delivery,2024-01-22 05:31:42
2928,other,Debit Card,9969,4384,Take Out,2024-05-24 08:17:43
9274,person,Cash,4960,9196,Dine In,2024-04-03 13:30:30
3107,concern,Credit Card,6954,4708,Take Out,2024-07-03 11:36:59
4468,daughter,Cash,1942,7122,Take Out,2024-03-08 22:28:58
5945,ten,Credit Card,3799,2317,Dine In,2024-09-21 10:23:50
7448,institution,Debit Card,5361,1203,Delivery,2024-07-21 19:28:35
6834,local,Debit Card,5090,9122,Take Out,2024-04-01 11:10:17
1738,ground,Cash,3737,6551,Dine In,2024-05-22 03:56:30
1393,sort,Debit Card,3869,7122,Take Out,2024-03-18 15:07:48
4969,fine,Cash,9541,4198,Dine In,2024-04-29 09:10:01
7291,assume,Cash,3036,45,Delivery,2024-03-03 09:58:33
3464,newspaper,Mobile Payment,1942,1203,Dine In,2024-03-04 12:26:51
3488,buy,Cash,7771,8273,Dine In,2024-09-18 03:10:26
3700,dog,Cash,621,5872,Take Out,2024-01-30 09:33:14
482,allow,Debit Card,6271,1766,Take Out,2024-01-02 07:56:23
5246,tonight,Debit Card,4246,6467,Take Out,2024-05-29 18:46:49
4361,treat,Cash,4867,412,Delivery,2024-04-22 10:32:28
4072,poor,Mobile Payment,2256,3990,Dine In,2024-05-31 15:04:38
563,above,Cash,9495,2884,Take Out,2024-05-31 05:08:19
1417,cost,Cash,2502,4970,Take Out,2024-02-13 00:38:36
4203,lay,Credit Card,7059,3990,Take Out,2024-08-19 13:16:30
3625,particular,Mobile Payment,3142,1015,Dine In,2024-01-19 16:43:57
9089,bring,Credit Card,9959,4924,Take Out,2024-02-03 09:37:38
1891,world,Debit Card,5361,7909,Dine In,2024-06-29 22:35:19
6267,buy,Cash,5694,3320,Delivery,2024-03-18 15:16:19
649,group,Cash,4448,7802,Take Out,2024-04-11 09:31:54
7346,home,Debit Card,9969,1829,Take Out,2024-08-17 05:07:42
4834,join,Debit Card,983,6763,Take Out,2024-02-12 08:38:22
2915,the,Debit Card,4282,2913,Dine In,2024-01-30 10:39:06
2386,cell,Mobile Payment,4889,7122,Dine In,2024-08-04 07:41:50
4954,physical,Debit Card,1944,8594,Dine In,2024-09-03 21:58:09
5782,name,Debit Card,8928,413,Delivery,2024-03-20 23:48:17
6270,leave,Cash,3869,6568,Dine In,2024-08-10 07:18:01
6743,fill,Mobile Payment,4448,7335,Dine In,2024-08-19 06:53:47
391,move,Cash,4465,5736,Dine In,2024-09-03 06:56:47
348,as,Debit Card,6268,4924,Dine In,2024-08-17 03:59:34
6459,loss,Cash,9495,7909,Delivery,2024-09-21 13:32:07
